customer_id,name,address,telephone1,telephone2,email,website,sec,vat,withHoldingTax,businessNature,qualifyingSystem,certifyingBody,dateCertified,payment,status,remarks,businessStyle,tin,createdDate
1500038,Antistatic Prevention System Corp.,9th Street  Golden Mile Business Park Carmona Cavite,046 430-0880,,,,,Non-VAT,,,,,,COD,Active,,,007-065-179-000,09/01/2017
1500039,P. Imes Corp.,PEZA  Rosario  Cavite  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500040,Ibiden Philippines  Inc.,Brgy. Sta. Anastacia  Sto. Tomas  Batangas  Philippines,043 405-5250,043 405-5257,,,,Non-VAT,,,,,,COD,Active,"collection schedule:  Tue through Friday (all day  according to purchaser is best to go in the pm).  MUST go to ibiden guard house 1st to get pmt slip prior to procedding to Metrobank to collect.
C.O.D.:  Customer must bring payment to release equipment and cal documents.
TIN 005-741-331-000",Manufacturing,005-741-331-000,28/02/2012
1500041,Nationware Marketing  Inc.,Rm. 100 Ground Fl.  Ermita Bldg.  Arquiza cor. Alhambra Sts.  Ermita  Manila Philippines,,,,,,VAT,,,,,,COD,,,,,
1500042,Seiyo Electronics,Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500043,Zilog,8460 Dr. A. Santos Ave.  Parañaque City  MM 1700  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500044,Total Tech Corp.,5081 - B  C- & L Mansion  Filmore Ave. cor. Fahrenheit St.  Makati City 1235  Philippines,,,,,,VAT,,,,,,,Active,,,,
1500045,Ohtsuka Poly-Tech. Phils.  Inc.,LISP  Bo. Diezmo  Cabuyao  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500046,McJanus & Base Graphics  Inc.,3M Carmona Distribution Center P5 & P6  Golden Mile Business Park  Brgy Maduya  Carmona  Cavite,02 257-8377,,,,,VAT,,,,,,COD,Active,"Releasing of cheques: Every 5th and 20th of the month (8-5pm)
Old Address: Marcos Alvarez Ave.  Brgy. Talon V  Las Piñas City 1740   Philippines",,,
1500047,Taiyo Plastics,Philippines,,,,,,VAT,,,,,,COD,,,,,
1500048,Philinak Industries  Inc.,Lima Technology Center  mLipa City  Batangas,,,,,,Non-VAT,,,,,,COD,,,,,
1500049,3M Philippines  Inc. - ESD,9/F  Three World Square Bldg.  #22 Upper McKinley Hill Rd.  McKinley Hill  Forth Bonifacio  Taguig City 1634  Philippines,02 878-3674  878-3MPH,02 878-3691 to 95,,www.3M.com,,VAT,,,,,,Net 60 Days,Active,"3M requires releasing of P.O. first before working on their equipment.

Collection schedule:  F (10-5) @ Excel Makati  Ayala Ave. - Follow up time: 11am 3M account - 22560352-9 (outbound)
22560332-4 (in-bound)
Air21 contact (incase Mr. Jed wants to ship equipt. in Cebu) - Mr. Sherwin dela Cruz
EXL Makati Tel. (02) 696-1395 or 0927-495-4024  (Ayala Madrigal Building)
Company TIN:            000-089-206-000VAT

Attention: Mr. John Salgado
3M Philippines - Cebu Office
Unit 203 Cebu Holdings Center
Cebu Business Park  Cebu City
Cebu  Philippines  6000",,000-089-206-000,28/02/2012
1500050,Marketing Solutions  Inc. (MSI),Units 10  12   14-A Vita Realty Compound  #98 Marcos Alvarez Rd.  Bo. Talon Uno  las Piñas City 1740  Philippines,,,,,,VAT,,,,,,COD,,,,,
1500051,Shindengen Phils. Corporation,Lot 20-22 SEPZ  Carmelray Industrial Park  Canlubang Calamba  Laguna   Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500052,Integrated Device Technology Phils.  Inc.,Carmelray Industrial Park  Canlubang  Calamba  Laguna,,,,,,Non-VAT,,,,,,COD,,,,,
1500053,Lexin  Philippines  LTD,Bldg. A5 Granvill. Industrial Complex  Bo. Bancal  Carmona  Cavite  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500054,Caltron Philippines  Inc.,No. 15332 St. Francis St.  San Augustin Village  Moonwalk  Parañaque City 1700  Philippines,,,,,,VAT,,,,,,COD,,,,,
1500055,SPI / Semicon Asia  Inc.,PEZA Dr.  FCIE-SEZ  Dasmariñas  Cavite  Philippines,046 402-0354,046 402-0087,,,,Non-VAT,,,,,,15 Days,Active,,,005-645-068-000,02/04/2012
1500056,Honeywell CEASA (Subic Bay) Company  Inc.,Bldg. 1A-2  Subic Technopark  Boton Area  Subic 2222  Philippines,,,,,,Non-VAT,,,,,,COD,Active,"since 2003
reflect cal due dates on cal sticker  cal reports  cal certficates.
DHL account = 642213082
Air21 Account = 1000003528
sdelacruz@af2100.com - send authorization letter here

Those with serial number start with NDT are six months and the rest are 12 months.

- invoice without P.O. - authorized to release equipment & cal docs with invoice (no need for P.O.)",,,01/03/2012
1500057,Anam Instruments Phils.  Inc.,PEZA  L6 & 8  B24 IV  Rosario  Cavite 4160  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500058,Matsuden Philippines Corporation,#7 West Rd.  LISP1  Brgy. Diezmo  Cabuyao  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500059,Testech  Inc.,2nd Flr. DPL Technology Bldg.  Blk 2 Lot 4 Calamba Premiere International Park (CPIP) SEZ Brgy. Batino  Calamba City  Laguna,049 545-0618 / 545-6554,02 6700-51-08 to 09,,,,Non-VAT,,,,,,COD,Active,,,,
1500060,Diageo Philippines  Inc.,111 Technology Ave.  Laguna Technopark  Biñan  Laguna  Philippines,,,,,,VAT,,,,,,COD,Active,"Follow up time in EXL: 11 PM   - Schedule of Releasing: Friday 10-4PM
diageo has requested for inv. to include P.O. # and to include a copy of their approved P.O. upon release of their equipment.  fyi.
",,,
1500061,Excelitas Technologies Philippines  Inc.,3 Ampere St.  LISP1  PEZA-SEPZ  Cabuyao  Laguna 4025  Philippines,,,,,,Non-VAT,,,,,,COD,Active,"Bo. Diesmo  Cabuyao City
formerly PerkinElmer Optoelectronics Philippines  Inc..
contact Mr. Harry Dirielos 543-0110 or 543-0899",,004-149-889-0004,13/12/2012
1500062,Shinsei Industries Phils. Inc.,#6 West Rd. - LISP1  Bo. Diezmo  Cabuyao  Laguna  Philippines,049 543-0667,,purchasing@shinseiphil.com,,,Non-VAT,,,,,,COD,Active,,,003-973-179-000,15/09/2014
1500063,Shin-Etsu Magnetics Philippines  Inc.,125 East Main Ave.  SEPZ Laguna Technopark  Biñan  Laguna  4024 Philippines,,049 541-2870,,,,Non-VAT,,,,,,COD,Active,"Binan City
Mesco Express - Balibago (049) 837-2893  (0946) 293-7168  Mon-Fri 9-4pm
Mesco Express Service Corp  (02) 806-8083 - Las Pinas  Mon-Fri 9-4pm 

OLD Address: SEPZ - 125 East Main Ave.  Laguna Technopark  Biñan  Laguna  Philippines",,005-749-476-000,03/10/2012
1500064,MM Steel Service Center Corporation,People's Technology Complex-Special Economic Zone(PTC-SEZ) Brgy. Cabilang Baybay Carmona Cavite,,,,,,Non-VAT,,,,,,COD,Active,"formerly Hi-Precision  COLLECTION every Friday 1 to 4pm
Invoice amounts not to exceed P1 500 for immediate pmt
Address: PTC SEZ Brgy. Cabilang Baybay Carmona Cavite
Tin #: 000-241-765-000",MM Steel Service Center Corporation,000-241-765-0000,09/05/2012
1500065,Eugene Industries Company  Inc.,11-13 Dagot St. Manresa  Quezon City  Philippines,,,,,,VAT,,,,,,COD,Active,,,,
1500066,Essilor Manufacturing Philippines  Inc.,2nd Floor  SFB #10  BEZ  Marivelez  Bataan 2106  Philippines,,,,,,Non-VAT,,,,,,COD,Active,,Manufacturing,000-230-560-000,24/10/2014
1500067,Integrated Micro-Electronics  Inc.,North Science Ave - SEPZ  Laguna Technopark  Biñan  Laguna,,,,,,Non-VAT,,,,,,COD,Active,,,,04/11/2013
1500068,FRMM Enterprises,Phase IV  Blk 1 Lot 9  Villa Olympia  San Pedro  Laguna,,,,,,,,,,,,COD,,,,,
1500069,Lux Manufacturing Corp.,Calamba Premiere Int'l Park  SEZ  South Luzon Expressway  Batino  Calamba  Laguna 4027  Philippines,,,,,,Non-VAT,,water filter products,,,,COD,,,,,
1500070,Banner Plasticard  Inc.,Manggahan Light Industrial Park  Amang Rodriguez Ave.  Pasig City 1611  Philippines,,,,,,VAT,,,,,,COD,Active,,,,
1500071,Fujitsu Die-Tech Corporation of the Phils.,113 East Science Ave. SEPZ  Laguna Technopark  Biñan  Laguna,,,,,,Non-VAT,2% Service  1% Sales,,,,,,Active,"Collection Schedule:  2nd & 4th Fri of the mo.  (3-5pm)
Metrobank Paseo de Sta Rosa
Unclaimed check release schedule:  every Friday @ Accounting  Office 
(Plant 2)  10-12pm  (0917) 5924-502
Sir Martin - DO NOT provide cal due dates
address D.R. & Invoice to the person-in-charge to whom you will deliver.
Indicated ""OTHERS""  in P.O. e.g. Ms. Aiza (ASSEMBLY SECTION)  Ms. Retch/Ms. Marilyn (PRESS and MOLD) 
MS. ANNA if INSPECTION  MS. NELI if PE and MS. MJ if QUALITY ASSURANCE SECTION.",,004-872-011-000,15/11/2012
1500072,Ionics EMS  Inc. (Plant 7),No. 16 Ring Road St.  LISP11  Real Calamba  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,Active,,,,
1500073,Technical Lighting Phils.  Inc.,Granville Industrial Complex  Bldg. C2 Governors Dr.  Carmona  Cavite 4116  Philippines,,,,,,VAT,,,,,,COD,Active,,,,
1500074,3M Philippines  Inc. ( GAC ),Filipinas Bengson Compd. E. Rodriguez St. Tunasan  Muntinlupa  Philippines,,,,,,VAT,,,,,,Net 60 Days,Active,Collection schedule:  F (10-5) @ Excel Makati -  Follow up time in EXL: 11 PM,,,
1500075,3M Philippines  Inc. - ( CTC ),9F Three World Square Bldg  Upper McKinley Rd.  Mckinley Hill  Fort Bonifacio  Taguig 1634,02 887-1091,02 887-0987,,,,VAT,,,,,,Net 60 Days,Active,Collection schedule:  F (10-5) @ Excel Makati - Follow up time in EXL: 11 AM  EXL Makati Tel. (02) 696-1395 or 0927-495-4024  (Ayala Madrigal Building)  ayala ave.,,000-089-206-000,22/01/2013
1500076,Plasti-Air Packaging Corp.,Dasmariñas Technopark  Paliparan I  Dasmariñas  Cavite Philippines,,,,,,VAT,,,,,,COD,,,,,
1500077,Kraft Foods (Phils.)  Inc.,8378 Dr. A. Santos Ave  Parañaque  Philippines,,,,,,VAT,,,,,,COD,,,,,
1500078,Inventory Exchange Center  Inc.,Blk 14 Lot 8 Mount View Industrial Complex II  Maguyam Rd.  Brgy. Bangkal  Carmona  Cavite  Philippines,046 865-2521,632 529-8304,isefoncardas@yahoo.con,,,VAT,,,,,,COD,Active,,,,
1500079,Diagem Packaging Systems  Inc.,Bldg. 2  Royal Goldcraft Compound Magsaysay Road  San Antonio  San Pedro  Laguna,8 833-9140,,diagempackaging.systems_inc@yahoo.com,,,VAT,,,,,,COD,Active,Formely Address: Unit 5 Pacific Resources Warehouse # 888  Alvarez Rd.  Las Piñas City  Philippines,,205-751-643-000,11/08/2017
1500080,General Milling,33rd Flr. Urban Bank Plaza  Urban Ave. cor. Chino Roces Ave.  Makati City  Philippines,,,,,,VAT,,,,,,COD,,,,,
1500081,T.R. Santi,#10 Tirona St. Wakas  Kawit  Cavite  Philippines,0916-272-9101,046 484-7095,ninosanti@trsanti.com,,,VAT,,,,,,COD,Active,"Bo. Wakas  Kawit
email final billing (inv.) to customer upon completion of ALL work.  No pmt no release of equipment.",,148-980-768-000,13/12/2012
1500082,Daeduck Philippines  Inc.,Lot1-13  Block 20  Phase 4  Main Ave.  PEZA  Rosario  Cavite  Philippines,437-0741 to 47,437-1597,,,,Non-VAT,,,,,,COD,Active,,,004-842-467-000,04/01/2013
1500083,Desco  Inc.,Laguna International Industrial Park (LIIP) Lot 2 Blk 3 Interstar St. Barangay Mamplasan  Biñan  Laguna 4024,02 520-8149 to 50,02584-4829,dadaleal@desco.ph,,,VAT,,,,,,Net 15 Days,Active,previous address: Km. 21 Villonco Rd.  West Svc. Rd.  Sucat  Muntinlupa City  Philippines,,000-159-878-000,10/01/2012
1500084,KAC Precision Phils.  Inc.,CEZIA Rd.  Block 14-A  Phase 3  PEZA  Rosario  cavite   Philippines,,,,,,VAT,,,,,,COD,,,,,
1500085,Portion Fillers  Inc.,106 Commerce Rd.  Laguna Technopark  Biñan  Laguna  Philippines,049 541-3056,,,,,VAT,,,,,,,Active,reflect cal due dates on cal sticker  cal reports  cal certficates.,,004-681-289-000,19/02/2014
1500086,Advance Semiconductor Engineering  Inc.,,,,,,,,,,,,,COD,,,,,
1500087,Mesco  Inc.,Reliance cor. Brixton Sts.  Kapitolyo  Pasig City 1603,,,,,,VAT,,,,,,COD,Active,o. Kapitolyo  Pasig City,Mesco  Inc.,002-856-635-00000,24/01/2013
1500088,MDD Distri Park,,,,,,,,,,,,,COD,,,,,
1500089,Philippine IRIS Co.  Inc.,Light Industry and Science Park of the Philippines  Special Export Zone Ampere St.  Cabuyao  Laguna  Philippines,049 543-0645,049 543-0252,,,,Non-VAT,,,,,,COD,Active,,,,
1500090,JV Innotek Philippines Corporation,Suites 409-410 Doña Amparo Bldg.  España Street. Manila Philippines 1008,632 735-7268,631 309-8954,sales@jvinnotek.com.ph,www.jvinnotek.com.ph,,VAT,,,,,,COD,Active,,,,
1500091,Hitachi Cable Phils.  Inc.,Lima Technology Center  Lipa City  Batangas  Philippines,043 981-0700,,,,,Non-VAT,,,,,,Cash On Delivery,Active,landmark going to Hitachi Cable: BULIHAN exit,,005-196-239-000,15/11/2012
1500092,Nikkoshi Philippines Corporation (NPC),108 Technology Ave. SEPZ  Laguna Technopark  Biñan  Laguna  Philippines 4024,049 508-1627,049 837-2829,,,,Non-VAT,,,,,,Net 30 Days,Active,"Payment Terms: 30 days ( Effective date May 02  2024)
formerly Kisho Sakata -  company name change to Nikkoshi Electronics Philippines  Inc. (effective Mar. 04  2009)
Kisho Sakata Electronics (P)  Inc. - former name
Formerly -  Nikkoshi Electronics Philippines  Inc.",Mfg,204-119-897-000,09/05/2012
1500093,Megastamp Industries Corp.,Hong Chang Compound Bo. Bancal Carmona  Cavite,046 430-1973,046 430-1975,megastmp@info.com.ph,,,VAT,,,,,,COD,,,,,
1500094,Hungry Hippo Foods Corp.,Hungry Hippo Bldg.  Blk 1 Lot 3  Macaria Business Center  Carmona  Cavite  Philippines,046 430-2739,,,,,VAT,,,,,,COD,Active,,,,
1500095,Samsung Electronics Philippines Manufacturing Corp.,Blk 6 CPIP Batino  Calamba  Laguna,049 545-1144,049 545-1144,rea.galang@samsung.com,,,VAT,,,,,,COD,,,,,
1500096,Maxtronix  Inc.,No. 1 Mon-El St.  Mon El Subd.  Sucat  Parañaque City  1700  Philippines,02 820-4859,02 820-4839,a.juvida@maxtronix.net,www.maxtronix.net,,,,,,,,COD,,,,,
1500097,Ginza Marketing,,632 716-3065,632 714-2167,gnzamktg@skyinet.net,,,VAT,,,,,,COD,Active,,,,
1500098,Semi-Pack Corporation,Bldg. C-3 Granville Industrial Complex  Gov. Drive Bo. Bancal Carmona  Cavite  Philippines,02 664-4976,,,,,VAT,,,,,,COD,Active,"0933-613-2481
0915-318-3979",,,
1500099,Procycle Industrial  Inc.,Hong Chang Compound  Bo. Bancal  Carmona  Cavite,046 238-8899,046 972-1860 / 430-2074,hna@globeline.com.ph,,,VAT,,,,,,COD,Active,"Lantic  Carmona
COD",Manufacturing,006-966-862,23/01/2013
1500100,WB Technologies  Inc.,Bldg.  A-3 Granville Industrial Complex  Carmona  Cavite  Philippines 4116,046 972-0127,046 972-0127,wbtechnologies@yahoo.com,,,VAT,,,,,,Net 30 Days PDC,Active,"Bo. Bangkal  Carmona

Formerly:  Works Bell Philippines  Inc.",Mfg.,003-255-500-000,19/02/2013
1500101,Mount View Integrated Textile Mills  Inc.,Mount View Industrial Complex  Bo. Bangkal  Carmona  Cavite,,,,,,,,,,,,COD,,,,,
1500102,Sure Marketing Co.  Inc.,Suite 706 Metropolitan Terraces Condominium  Sacred Heart Street  San Antonio Village  1203 Makati City  Philippines,632 897-2430,632 897-2429,suremktg@pacific.net.ph,,,VAT,,,,,,COD,Active,"San Antonio  Makati City
email final billing (inv.) to customer upon completion of ALL work.  No pmt no release of equipment.",,000-145-282-000,01/03/2012
1500103,SunPower Phils. Mfg. Ltd. - Fab1,100 East Main Avenue  Laguna Technopark  Biñan  Laguna  Philippines,632 841-9700,632 841-9720,email Basilio.Lucido@sunpowercorp.com,,---,Non-VAT,,,,,,COD,Active,"Collection  Schedule: Friday ( 3-4:30 PM) - ask if release is other than Friday.  Statement of accounts april.gonzales@sunpowercorp.com  ela.montesines@sunppwercorp.com  maureen.fernandez@sunpowercorp.com  RPX Business Center
Address:  1012E Services Atbp.  Lower Level
Festival Supermall  Filinvest Corporate City
Alabang  Muntinlupa City
Tel. No.:   (02) 842-1654/(02) 842-9721

SPML LOCAL SUPPLIERS  
PLEASE SEND YOUR INVOICES TO:  

SPML ACCOUNTS PAYABLE INVOICE  DROPBOX 
FAB1 VISITORS LOBBY
SPWR  LAGUNA TECH. INC",,,
1500104,Lab Industries Testing and Calibration Laboratory,Unit 419 Chateau Verde Condominium  Gate 2  Valle Verde I  E. Rodriguez Jr. Avenue  along C-5  Ugong Pasig City  Philippines,049 545-9410,02 633-2579,labindustries@yahoo.com.ph,,,VAT,,,,,,COD,Active,,,,
1500105,Terumo (Philippines) Corporation course through Ginza Marketing,3588 Unit F.  P. Sanchez St.  Sta. Mesa 1016  Manila  Philippines,,,,,,,,,,,,COD,Active,,,,
1500106,PDM Philippines Industries  Inc.,San Pedro Mill  Maharlika Road  United San Pedro Subdivision  San Pedro  Laguna Philippines,02 808-0808 loc: 3122,02 808 3164,epacia@kcc.com,,,VAT,,,,,,COD,Active,"Collection time:  1 - 5 p.m. Fridays - 
Follow-up time:  Friday mornings.",,,
1500107,Panasonic Mobile Communications Corp. of the Philippines,102 Laguna Boulevard  Laguna Technopark  Sta. Rosa  Laguna  4026  Philippines,632 818-1263,632 818-3303,,,,,,,,,,COD,Active,,,,
1500108,Hetronic Asia Logistics Mfg. & Trading Corp.,Lot 4 Phase V  121 East Main Ave.  Laguna Technopark  Biñan  Laguna  4024  Philippines,049 544-0003,049 544-0006,,,,Non-VAT,,,,,,COD,Active,,,400-577-851-000,19/02/2014
